"year","age","pred_weight"
1975,0,0.0430119240472655
1975,1,0.114227030855074
1975,2,0.302378845568826
1975,3,0.541360941631784
1975,4,0.705290577390685
1975,5,0.809144388321927
1975,6,0.879003502723247
1975,7,0.975524773303186
1975,8,1.15856897145593
1975,9,1.32690611736758
1975,10,1.40241625613671
1975,11,1.44030744086729
1975,12,1.70620569347134
1975,13,0.869169213182595
1975,14,1.87322494231688
1975,15,1.42719857551394
1976,0,0.0416277155528686
1976,1,0.133987746855581
1976,2,0.296641162106024
1976,3,0.57504896089448
1976,4,0.76079487856452
1976,5,0.835823536234066
1976,6,0.938533402547545
1976,7,1.06833130380526
1976,8,1.20958749687596
1976,9,1.38518081399222
1976,10,1.51043586480788
1976,11,1.58738150785987
1976,12,1.69764943134099
1976,13,2.07373786883067
1976,14,1.02176618231965
1976,15,2.02474604635684
1977,0,0.0422968758320572
1977,1,0.110632696841164
1977,2,0.296860433085841
1977,3,0.481292993249854
1977,4,0.689461772460527
1977,5,0.769199161313163
1977,6,0.827109503162552
1977,7,0.973172412874329
1977,8,1.1301332363249
1977,9,1.23380512642179
1977,10,1.34521985109478
1977,11,1.45858376637122
1977,12,1.59624236006511
1977,13,1.76033446075328
1977,14,2.07982002439796
1977,15,0.94222985151061
1978,0,0.0295810213172434
1978,1,0.110454503794143
1978,2,0.240849056633887
1978,3,0.473265296624755
1978,4,0.567007920436841
1978,5,0.684944891586893
1978,6,0.747930827944086
1978,7,0.84270832435827
1978,8,1.01155080568499
1978,9,1.13269542553687
1978,10,1.17735542196614
1978,11,1.27642873280972
1978,12,1.44119620042241
1978,13,1.62637327069649
1978,14,1.73476761301404
1978,15,1.88453977386758
1979,0,0.0472416537854204
1979,1,0.0924537952354042
1979,2,0.287793724769117
1979,3,0.459551018974499
1979,4,0.667299327014428
1979,5,0.674172456965268
1979,6,0.797103477406237
1979,7,0.912036350372415
1979,8,1.04836288111078
1979,9,1.21341019677907
1979,10,1.29363156809618
1979,11,1.33704902933673
1979,12,1.50947090059433
1979,13,1.75744177510053
1979,14,1.91823929555046
1979,15,1.88129672188171
1980,0,0.0280502312175806
1980,1,0.110626618471454
1980,2,0.180486864603829
1980,3,0.411427265847545
1980,4,0.485481545786978
1980,5,0.594463963379232
1980,6,0.587831756221211
1980,7,0.728263230554164
1980,8,0.850098922041355
1980,9,0.942224822250862
1980,10,1.03831245662803
1980,11,1.10071102265627
1980,12,1.18467294996422
1980,13,1.37913108673243
1980,14,1.55305367820723
1980,15,1.5586253743536
1981,0,0.0312329626963201
1981,1,0.0771176700648014
1981,2,0.253549876717253
1981,3,0.30292858722353
1981,4,0.510287548984875
1981,5,0.507762333639349
1981,6,0.608541892198186
1981,7,0.63053563081475
1981,8,0.796945477001004
1981,9,0.897005860421998
1981,10,0.946581200059219
1981,11,1.03722669175911
1981,12,1.1450049498022
1981,13,1.27075604510332
1981,14,1.43084957323519
1981,15,1.4815227841134
1982,0,0.0327963487140633
1982,1,0.0818850278179152
1982,2,0.168551076309304
1982,3,0.405818579799614
1982,4,0.358291104259633
1982,5,0.508951725303096
1982,6,0.495677599908427
1982,7,0.622473594890841
1982,8,0.657996712741331
1982,9,0.801914911424075
1982,10,0.859354742361826
1982,11,0.901731744418624
1982,12,1.0289199710611
1982,13,1.17123742286472
1982,14,1.25725820561566
1982,15,1.3016364766847
1983,0,0.0240430929860388
1983,1,0.0913466128236249
1983,2,0.190133115862145
1983,3,0.286599670869083
1983,4,0.509921503937024
1983,5,0.37964114889088
1983,6,0.527826313445319
1983,7,0.538648407790149
1983,8,0.690097825043203
1983,9,0.703394611789703
1983,10,0.816170927590981
1983,11,0.869696247546661
1983,12,0.950300385801693
1983,13,1.1181364553268
1983,14,1.23107034262305
1983,15,1.21505474379254
1984,0,0.0237181531992215
1984,1,0.0683993284413301
1984,2,0.216640805447201
1984,3,0.33021475246568
1984,4,0.367825332899713
1984,5,0.551867894865477
1984,6,0.402144630408243
1984,7,0.585857067411021
1984,8,0.609943566131162
1984,9,0.753495253538386
1984,10,0.731217232801545
1984,11,0.84366646813914
1984,12,0.9361505398621
1984,13,1.05479646359089
1984,14,1.20040358832649
1984,15,1.21520286448847
1985,0,0.0277728571831958
1985,1,0.0763066673785145
1985,2,0.183450866005502
1985,3,0.425499528206526
1985,4,0.479272528132134
1985,5,0.450187626542061
1985,6,0.66109555895407
1985,7,0.504781029965888
1985,8,0.750232825897295
1985,9,0.753146794185074
1985,10,0.88582517094098
1985,11,0.854783637650119
1985,12,1.02699658401785
1985,13,1.17509659148057
1985,14,1.28062288273366
1985,15,1.34002627974313
1986,0,0.0388109749736997
1986,1,0.0771257989396785
1986,2,0.176655805107622
1986,3,0.311011240721928
1986,4,0.533068040383872
1986,5,0.506328008424243
1986,6,0.465500511686402
1986,7,0.716279446411464
1986,8,0.557962373343566
1986,9,0.799619797373588
1986,10,0.764266152151782
1986,11,0.89383076222719
1986,12,0.898156277000081
1986,13,1.11274172130154
1986,14,1.2314694928347
1986,15,1.23397052646622
1987,0,0.0283625315953799
1987,1,0.0971565224548471
1987,2,0.160954601259375
1987,3,0.269974364000862
1987,4,0.351235126279944
1987,5,0.507656972198586
1987,6,0.471950938567147
1987,7,0.454649487708145
1987,8,0.713711460501983
1987,9,0.536081329853315
1987,10,0.731453674516313
1987,11,0.69516868497917
1987,12,0.846621513771467
1987,13,0.877234242810126
1987,14,1.05119371748529
1987,15,1.06965932172011
1988,0,0.0329798797787129
1988,1,0.0817767083421884
1988,2,0.233530121999681
1988,3,0.283312172137576
1988,4,0.35116530982871
1988,5,0.385259073492373
1988,6,0.545007503374893
1988,7,0.530909652614681
1988,8,0.521776014662846
1988,9,0.78979733483335
1988,10,0.564808461270679
1988,11,0.766301409435667
1988,12,0.758387955912548
1988,13,0.952401763369148
1988,14,0.954489564887869
1988,15,1.0516513975754
1989,0,0.0350984825805586
1989,1,0.0903104214667903
1989,2,0.186682985724288
1989,3,0.390399193353775
1989,4,0.349992294067581
1989,5,0.365822748977988
1989,6,0.392816001186889
1989,7,0.582278047332179
1989,8,0.578671634898665
