ship,survey_num,haul_num,species_name,sex,length_cm,weight_kg,specimen_number,age,visual_maturity,subsample_type,age_structure,maturity_table
NOAA Bell M Shimada,201906,1,Pacific hake - Merluccius productus,Male,24,0.08,100620381,1,Immature,Randomly selected,Otoliths,"General 5-point maturity scale for egg-laying spawners (gadids, flatfish, etc)"
NOAA Bell M Shimada,201906,1,Pacific hake - Merluccius productus,Female,23,0.06,100620382,1,Immature,Randomly selected,Otoliths,"General 5-point maturity scale for egg-laying spawners (gadids, flatfish, etc)"
NOAA Bell M Shimada,201906,1,Pacific hake - Merluccius productus,Female,22,0.06,100620383,1,Immature,Randomly selected,Otoliths,"General 5-point maturity scale for egg-laying spawners (gadids, flatfish, etc)"
NOAA Bell M Shimada,201906,1,Pacific hake - Merluccius productus,Male,22,0.06,100620384,1,Immature,Randomly selected,Otoliths,"General 5-point maturity scale for egg-laying spawners (gadids, flatfish, etc)"
NOAA Bell M Shimada,201906,1,Pacific hake - Merluccius productus,Female,23,0.06,100620385,1,Immature,Randomly selected,Otoliths,"General 5-point maturity scale for egg-laying spawners (gadids, flatfish, etc)"
NOAA Bell M Shimada,201906,1,Pacific hake - Merluccius productus,Male,31,0.16,100620386,2,Developing,Randomly selected,Otoliths,"General 5-point maturity scale for egg-laying spawners (gadids, flatfish, etc)"
NOAA Bell M Shimada,201906,1,Pacific hake - Merluccius productus,Male,21,0.06,100620387,1,Immature,Randomly selected,Otoliths,"General 5-point maturity scale for egg-laying spawners (gadids, flatfish, etc)"
NOAA Bell M Shimada,201906,1,Pacific hake - Merluccius productus,Male,24,0.1,100620388,1,Developing,Randomly selected,Otoliths,"General 5-point maturity scale for egg-laying spawners (gadids, flatfish, etc)"
NOAA Bell M Shimada,201906,1,Pacific hake - Merluccius productus,Female,24,0.08,100620389,1,Immature,Randomly selected,Otoliths,"General 5-point maturity scale for egg-laying spawners (gadids, flatfish, etc)"
NOAA Bell M Shimada,201906,1,Pacific hake - Merluccius productus,Male,20,0.06,100620390,1,Immature,Randomly selected,Otoliths,"General 5-point maturity scale for egg-laying spawners (gadids, flatfish, etc)"
