ship,survey_num,haul_num,total_haul_weight_kg,haul_type,performance,subsample,target_depth_date_time,haul_back_date_time,haul_duration,haul_distance_fished_nm,inpfc_region,td_latitude,td_longitude,hb_latitude,hb_longitude,avg_bot_depth_m,avg_footrope_depth_m,surface_temp_c,gear_temp_c,avg_wireout_m,transect,net_height_m
NOAA Bell M Shimada,201906,1,58.586,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/17/2019 16:52:13,06/17/2019 17:07:44,0:15:31,0.8871,Conception; from 32.5 to 36 degrees latitude,34.4036,-120.6568,34.4130,-120.6708,390.5657,335.7628,13.0241,7.9402,880.3000,1,19.0000
NOAA Bell M Shimada,201906,2,,Opportunistic off-bottom sample,Aborted,no catch data collected,,06/18/2019 21:59:00,,,Conception; from 32.5 to 36 degrees latitude,,,34.7102,-121.0947,550.0000,,,,,,
NOAA Bell M Shimada,201906,3,60.2,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/19/2019 20:12:00,06/19/2019 20:27:16,0:15:16,0.8775,Conception; from 32.5 to 36 degrees latitude,34.8986,-120.9075,34.9091,-120.9199,248.8937,227.0118,14.4230,9.1601,504.3365,4,20.9460
NOAA Bell M Shimada,201906,4,102.45,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/19/2019 22:09:22,06/19/2019 22:14:25,0:05:03,0.2787,Conception; from 32.5 to 36 degrees latitude,34.8943,-120.8763,34.8974,-120.8805,200.0231,172.4381,14.4316,9.7602,411.9800,4,24.0000
NOAA Bell M Shimada,201906,5,3.1,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/20/2019 15:02:31,06/20/2019 15:17:58,0:15:27,0.8962,Conception; from 32.5 to 36 degrees latitude,35.0625,-121.4547,35.0745,-121.4438,432.3527,140.9321,14.5482,9.4302,306.1019,5,20.7681
NOAA Bell M Shimada,201906,6,,Opportunistic off-bottom sample,Aborted,no catch data collected,,06/21/2019 01:29:33,,,Conception; from 32.5 to 36 degrees latitude,,,35.3852,-121.1463,325.0000,,,,,,
NOAA Bell M Shimada,201906,7,52.12,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/21/2019 02:31:23,06/21/2019 02:51:32,0:20:09,1.0617,Conception; from 32.5 to 36 degrees latitude,35.3936,-121.1581,35.4066,-121.1728,329.9151,197.5701,15.7217,7.8271,355.0466,7,26.2643
NOAA Bell M Shimada,201906,8,103.786,Opportunistic off-bottom sample,Unspecificed problems,100% processed (no subsample),06/21/2019 21:26:02,06/21/2019 21:41:33,0:15:31,0.8553,Conception; from 32.5 to 36 degrees latitude,35.5583,-121.4340,35.5686,-121.4460,608.9906,341.4472,15.2521,7.8364,695.6594,8,23.2285
NOAA Bell M Shimada,201906,9,118.73,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/22/2019 01:18:57,06/22/2019 01:29:55,0:10:58,0.5479,Conception; from 32.5 to 36 degrees latitude,35.5620,-121.2993,35.5678,-121.3079,283.5476,271.7103,14.3549,8.6373,467.4469,8,25.0760
NOAA Bell M Shimada,201906,10,91.834,Opportunistic off-bottom sample,Good,100% processed (no subsample),06/22/2019 17:34:30,06/22/2019 17:56:56,0:22:26,1.1537,Conception; from 32.5 to 36 degrees latitude,35.7300,-121.7384,35.7450,-121.7532,945.8449,321.3075,15.6487,7.5228,564.6652,9,32.0431
